order_id,weight (lbs),volume (in3)
21000,717.2,3784.6
21001,1012.0,6748.7
21002,1100.0,87.9
21003,260.0,100700.0
21004,168.0,20700.0
21005,688.6,1611.0
21006,202.4,4994.2
21007,370.0,130036.0
21008,220.0,33660.0
21009,1034.0,9829.8
21010,1293.6,13997.4
21011,261.8,1670.1
21012,534.6,1419.2
21013,1245.2,0.1
21014,220.0,2847.1
21015,220.0,2847.1
21016,220.0,2847.1
21017,425.0,69120.0
21018,40.0,52800.0
21019,475.0,200633.0
21020,900.0,69120.0
21021,110.0,29636.0
21022,440.0,9841.9
21023,264.0,3597.7
21024,1320.0,2812.0
21025,1540.0,33589.9
21026,165.0,1933.2
21027,396.0,2665.5
21028,349.8,5354.8
21029,220.0,2847.1
21030,1452.0,3093.2
21031,1977.8,5680.1
21032,655.6,2982.9
21033,63.8,427.2
21034,242.0,1202.9
21035,3203.2,7689.0
21036,264.0,1394.3
21037,1122.0,2390.2
21038,222.2,1238.9
21039,660.0,2284.7
21040,220.0,2847.1
21041,550.0,2284.7
21042,242.0,1202.9
21043,693.0,1812.4
21044,525.8,2476.7
21045,99.0,1889.3
21046,99.0,1889.3
21047,440.0,4696.4
21048,295.0,51136.0
21049,484.0,2389.1
21050,160.0,19350.0
21051,208.0,14400.0
21052,600.0,46080.0
21053,1020.0,212005.0
21054,150.0,18816.0
21055,286.0,1438.5
21056,481.8,2570.7
21057,1267.2,1968.4
21058,1452.0,3093.2
21059,286.0,1438.5
21060,220.0,2847.1
21061,330.0,1622.7
21062,1452.0,3093.2
21063,352.0,140.6
21064,440.0,6911.3
21065,220.0,2847.1
21066,220.0,2667.3
21067,290.4,1640.3
21068,1716.0,3655.6
21069,420.2,871.4
21070,290.4,1640.3
21071,17.0,35035.0
21072,220.0,2847.1
21073,519.2,1300.9
21074,352.0,929.5
21075,330.0,761.6
21076,380.6,1812.4
21077,1584.0,3374.4
21078,660.0,4647.6
21079,1848.0,10149.5
21080,220.0,2847.1
21081,330.0,761.6
21082,1012.0,3163.5
21083,33.0,7160.6
21084,173.8,1274.2
21085,242.0,1132.6
21086,650.0,8673.0
21087,532.4,1505.1
21088,264.0,742.0
21089,220.0,2847.1
21090,79.0,20880.0
21091,150.0,38400.0
21092,470.8,5147.4
21093,330.0,63248.0
21094,160.0,29920.0
21095,750.0,57600.0
21096,357.0,65000.0
21097,450.0,19360.0
21098,992.2,5290.2
21099,220.0,2847.1
21100,418.0,4415.7
21101,264.0,2178.5
21102,1650.0,3515.0
21103,352.0,949.0
21104,1540.0,28009.9
21105,1012.0,3163.5
21106,264.0,1055.6
21107,1100.0,6458.8
21108,220.0,2847.1
21109,264.0,1055.6
21110,1056.0,6151.2
21111,541.2,1262.6
21112,30.8,243.5
21113,541.2,1262.6
21114,1386.0,2952.6
21115,187.0,973.9
21116,541.2,1262.6
21117,726.0,7768.1
21118,266.2,1332.8
21119,2904.0,42960.7
21120,640.2,3613.8
21121,880.0,2582.5
21122,660.0,4794.5
21123,143.0,3668.5
21124,1650.0,3515.0
21125,281.6,1269.3
21126,457.6,878.7
21127,508.2,1350.2
21128,220.0,2847.1
21129,1258.4,5741.1
21130,369.6,1615.9
21131,880.0,976.4
21132,143.0,3668.5
21133,1320.0,6698.0
21134,990.0,2109.0
21135,704.0,949.0
21136,275.0,305.1
21137,330.0,3745.6
21138,220.0,2847.1
21139,374.0,2899.8
21140,264.0,1318.1
21141,519.2,1300.9
21142,242.0,1132.6
21143,275.0,2440.9
21144,3064.6,17872.5
21145,605.0,3708.7
21146,220.0,2847.1
21147,300.0,135407.0
21148,123.2,1407.5
21149,30.0,20736.0
21150,104.0,29220.0
21151,120.0,22478.0
21152,42.0,4000.0
21153,120.0,22478.0
21154,380.0,43776.0
21155,283.8,922.7
21156,129.0,28100.0
21157,2299.0,330372.0
21158,645.0,122496.0
21159,135.0,25188.0
21160,135.0,25188.0
21161,220.0,2847.1
21162,330.0,2022.9
21163,330.0,4686.6
21164,616.0,1845.4
21165,1782.0,3796.2
21166,244.2,843.6
21167,1053.8,9878.9
21168,4316.4,12685.3
21169,770.0,4686.6
21170,330.0,5061.6
21171,748.0,3374.4
21172,220.0,2847.1
21173,418.0,762.4
21174,1254.0,2671.4
21175,176.0,1201.1
21176,352.0,413.9
21177,1848.0,10149.5
21178,558.8,2331.4
21179,220.0,2847.1
21180,468.6,1982.1
21181,919.6,4328.3
21182,919.6,3919.7
21183,1320.0,2812.0
21184,352.0,413.9
21185,259.6,1804.4
21186,418.0,1382.4
21187,510.4,1734.5
21188,448.8,1530.6
21189,220.0,2847.1
21190,294.8,1247.7
21191,286.0,3515.0
21192,418.0,1382.4
21193,561.0,7732.9
21194,1716.0,3655.6
21195,275.0,1685.8
21196,3080.0,87733.6
21197,250.0,57600.0
21198,150.0,14400.0
21199,440.0,2253.0
21200,358.6,2665.5
21201,200.0,36920.0
21202,250.0,57600.0
21203,198.0,1130.5
21204,220.0,2847.1
21205,319.0,107880.0
21206,537.0,111132.0
21207,503.8,1372.8
21208,780.0,59904.0
21209,224.4,2627.4
21210,80.0,16434.0
21211,125.0,19968.0
21212,466.4,1655.9
21213,212.0,27136.0
21214,242.0,1276.0
21215,105.0,20960.0
21216,268.4,1195.9
21217,330.0,3493.4
21218,220.0,2847.1
21219,662.2,3183.2
21220,220.0,1874.6
21221,279.4,3679.7
21222,330.0,2368.2
21223,1386.0,2952.6
21224,330.0,3512.8
21225,1584.0,3374.4
21226,220.0,1874.6
21227,343.2,2133.4
21228,451.0,2505.3
21229,385.0,1373.0
21230,682.0,18484.1
21231,5456.0,20132.0
21232,213.4,1281.5
21233,642.4,3161.0
21234,220.0,2847.1
21235,354.2,1927.2
21236,1848.0,10149.5
21237,209.0,3849.1
21238,10912.0,7750.5
21239,426.8,2426.2
21240,209.0,3849.1
21241,660.0,3515.0
21242,360.8,939.3
21243,244.2,1770.5
21244,440.0,5694.2
21245,233.2,2812.0
21246,653.4,3242.2
21247,22.0,5061.6
21248,351.0,90240.0
21249,409.2,599.6
21250,220.0,2847.1
21251,33.0,2063.8
21252,385.0,2498.1
21253,481.8,1467.5
21254,1012.0,4723.2
21255,264.0,2372.6
21256,275.0,1779.5
21257,178.2,2090.4
21258,385.0,2360.1
21259,480.0,36864.0
21260,43.0,73395.0
21261,252.0,91656.0
21262,220.0,21692.0
21263,252.0,91656.0
21264,150.0,12000.0
21265,290.4,1464.6
21266,341.0,1876.6
21267,210.0,41160.0
21268,314.6,1419.7
21269,772.2,4243.3
21270,440.0,1650.1
21271,198.0,1874.6
21272,176.0,1874.6
21273,308.0,6310.7
21274,503.8,1581.7
21275,330.0,1898.1
21276,149.6,2148.0
21277,308.0,6310.7
21278,48.4,244.1
21279,330.0,1898.1
21280,242.0,828.0
21281,330.0,2343.3
21282,237.6,1183.4
21283,176.0,4613.4
21284,376.2,1717.9
21285,33.0,468.7
21286,2965.6,11247.9
21287,110.0,1265.4
21288,778.8,5623.9
21289,242.0,1129.1
21290,176.0,1467.8
21291,778.8,8435.9
21292,451.0,2372.6
21293,6802.4,24380.6
21294,721.6,4008.5
21295,1760.0,23726.0
21296,134.2,1757.5
21297,275.0,1493.9
21298,5280.0,10123.1
21299,110.0,1757.5
21300,781.0,5293.7
21301,515.0,234240.0
21302,220.0,2847.1
21303,246.4,448.2
21304,286.0,956.9
21305,1364.0,8787.4
21306,1309.0,277695.0
21307,1108.0,162180.0
21308,75.0,59489.0
21309,1683.0,8032.3
21310,660.0,4349.8
21311,480.0,36864.0
21312,645.0,122496.0
21313,736.0,45792.0
21314,50.0,20400.0
21315,210.0,41160.0
21316,690.8,4443.5
21317,430.0,41160.0
21318,204.6,1411.2
21319,44.0,518.7
21320,717.2,5877.8
21321,1645.6,7504.5
21322,413.6,2516.0
21323,66.0,1196.1
21324,3520.0,29087.3
21325,721.6,5223.4
21326,792.0,3998.3
21327,228.8,1086.3
21328,22.0,147.9
21329,231.0,932.9
21330,389.4,2230.8
21331,264.0,474.5
21332,1760.0,15311.7
21333,290.4,3749.3
21334,55.0,1581.7
21335,902.0,7381.4
21336,451.0,2505.3
21337,220.0,2847.1
21338,173.8,2416.9
21339,1269.4,5377.3
21340,902.0,7381.4
21341,902.0,7381.4
21342,891.0,5603.1
21343,107.8,1239.0
21344,352.0,3972.6
21345,330.0,2323.8
21346,37.4,1473.7
21347,220.0,2847.1
